City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Westport,41.1415,-73.3579,79.02,77,0,5.75,US,2022-07-14 01:44:17
276,Coihaique,-45.5752,-72.0662,30.15,93,0,0.0,CL,2022-07-14 01:41:52
277,Bismarck,46.8083,-100.7837,80.44,57,0,12.66,US,2022-07-14 01:41:11
278,Coroico,-16.1889,-67.7271,60.08,97,96,0.78,BO,2022-07-14 01:44:18
279,Mastic Beach,40.7668,-72.8521,77.54,82,0,8.99,US,2022-07-14 01:45:18
280,Cururupu,-1.8283,-44.8683,74.95,93,77,3.65,BR,2022-07-14 01:45:19
281,Leh,34.1667,77.5833,59.25,58,80,6.53,IN,2022-07-14 01:42:26
282,Caravelas,-17.7125,-39.2481,70.16,91,7,4.34,BR,2022-07-14 01:45:19
283,Straumen,63.8709,11.2999,51.8,90,100,12.24,NO,2022-07-14 01:45:19
284,Luderitz,-26.6481,15.1594,55.18,55,0,13.98,NA,2022-07-14 01:45:20
285,Ahuimanu,21.4447,-157.8378,83.91,79,100,21.85,US,2022-07-14 01:45:20
286,Abalak,58.1286,68.5944,68.02,88,87,2.15,RU,2022-07-14 01:45:20
287,Ambulu,-8.345,113.6058,80.96,72,24,4.47,ID,2022-07-14 01:45:21
288,Baykit,61.67,96.37,55.02,88,100,2.06,RU,2022-07-14 01:45:21
289,Katangli,51.7102,143.2326,57.79,83,85,14.58,RU,2022-07-14 01:41:57
290,Xiaoshi,41.2971,124.1209,77.86,62,51,6.73,CN,2022-07-14 01:45:21
291,Saint George,37.1041,-113.5841,91.78,29,67,6.4,US,2022-07-14 01:45:22
